id,status,status_desc,alert_geometry_id,alert_code,source,detected_year,detected_at,area_ha,biome_id,biome,biome_area,state_id,state,state_area,city_id,city,city_area,conservation_unit_id,conservation_unit,conservation_unit_area,indigenous_land_id,indigenous_land,indigenous_land_area,quilombo_id,quilombo,quilombo_area,settlement_id,settlement,settlement_area,watershed_l1_id,watershed_l1,watershed_l1_area,watershed_l2_id,watershed_l2,watershed_l2_area,car_count,car_area_max,car_area_min,car_area_sum,car_area_sum_adj,legal_reserve_count,legal_reserve_area_max,legal_reserve_area_min,legal_reserve_area_sum,legal_reserve_area_sum_adj,ppa_count,ppa_area_max,ppa_area_min,ppa_area_sum,ppa_area_sum_adj,river_source_count,def_uas,def_uas_area,def_asv,def_asv_area,def_pmfs,def_pmfs_area,def_poa,def_poa_area,def_efp,def_efp_area,embargoed_properties_count,embargoed_properties_count_area,embargoed_properties_area_min,embargoed_properties_area_max,embargoed_properties_area_sum,before_dt,after_dt,days_interval
736750,published,published,1112543,736750,{SAD-MATA-ATLANTICA},2022,2022-09-30,0.2632,18416,MATA ATLÂNTICA,0.2632,18392,SÃO PAULO,0.2632,15892,Franco da Rocha,0.2632,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.2632138,14663.0,Tietê,0.2632138,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-07-31,2022-08-13,13.0
738306,published,published,1112878,738306,{SAD-MATA-ATLANTICA},2022,2022-10-31,1.1489,18416,MATA ATLÂNTICA,1.1489,18392,SÃO PAULO,1.1489,16879,São José do Barreiro,1.1489,,,,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,1.1489469,14684.0,Litoral do Rio de Janeiro,1.1489469,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-07-22,2022-08-22,31.0
735337,published,published,1111906,735337,{SAD-MATA-ATLANTICA},2022,2022-09-30,0.1966,18416,MATA ATLÂNTICA,0.1966,18392,SÃO PAULO,0.1966,16693,Bom Jesus dos Perdões,0.1966,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.1965501,14663.0,Tietê,0.1965501,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-05-03,2022-08-28,117.0
736621,published,published,1112539,736621,{SAD-MATA-ATLANTICA},2022,2022-09-30,0.1702,18416,MATA ATLÂNTICA,0.1702,18392,SÃO PAULO,0.1702,19724,Nova Granada,0.1702,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.1701928,14585.0,Grande,0.1701928,2,0.1702,0.1702,0.3404,0.1702,1,0.1702,0.1702,0.1702,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-07-20,2022-08-12,23.0
737541,published,published,1112806,737541,{SAD-MATA-ATLANTICA},2022,2022-10-31,1.054,18416,MATA ATLÂNTICA,1.054,18392,SÃO PAULO,1.054,15723,Tejupá,1.054,13244.0,APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPá,1.054,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,1.0540305,14599.0,Paranapanema,1.0540305,1,1.054,1.054,1.054,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-07-25,2022-09-23,60.0
796267,published,published,1178584,796267,{SAD-MATA-ATLANTICA},2022,2022-12-31,2.9525,18416,MATA ATLÂNTICA,2.9525,18392,SÃO PAULO,2.9525,19240,Caraguatatuba,2.9525,,,,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,2.9524995,14607.0,Ribeira do Iguape,2.9524995,1,2.9325,2.9325,2.9325,,1,1.4374,1.4374,1.4374,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-07-23,2022-10-29,98.0
801509,published,published,1275596,801509,{SAD-MATA-ATLANTICA},2023,2023-02-28,1.8066,18416,MATA ATLÂNTICA,1.8066,18392,SÃO PAULO,1.8066,15413,Barra do Turvo,1.8066,12855.0,PARQUE ESTADUAL DO RIO TURVO,1.8066,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,1.8065669,14607.0,Ribeira do Iguape,1.8065669,1,1.8066,1.8066,1.8066,,1,1.5841,1.5841,1.5841,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-11-10,2022-12-30,50.0
888512,published,published,1592094,888512,{DETER-CERRADO},2023,2023-04-11,1.0799,18415,CERRADO,1.0799,18392,SÃO PAULO,1.0799,18058,Bauru,1.0799,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,1.0799201,14663.0,Tietê,1.0799201,2,1.0799,1.0799,2.1598,1.0799,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-05-25,2022-07-31,67.0
914531,published,published,1622358,914531,{SAD-MATA-ATLANTICA},2023,2023-05-31,0.1252,18416,MATA ATLÂNTICA,0.1252,18392,SÃO PAULO,0.1252,17581,Boituva,0.1252,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.1252406,14663.0,Tietê,0.1252406,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2023-04-02,2023-05-04,32.0
915191,published,published,1622315,915191,{SAD-MATA-ATLANTICA},2023,2023-05-31,0.7096,18416,MATA ATLÂNTICA,0.7096,18392,SÃO PAULO,0.7096,19034,Caconde,0.7096,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.7095987,14585.0,Grande,0.7095987,1,0.7096,0.7096,0.7096,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2023-02-15,2023-04-25,69.0
